1	2	3	4	5	6	7	8	PapBSCn2Kr02	PapBSCn1Kr02	PapBSCn1Ms17	PapBSCn3Ms17	PapBSCn2Ms17	PapBSCn3Kr02	PapBSSc1Mer5	PapBSAp1Mer1	PapBSXt1Mer2	PapBSAp1Mer2	PapBSAp1Mer5	PapBSXt2Mer1	PapBSSc1Mer1	PapBSSc1Mer2	PapBSXt1Mer5	
Bacteria	Proteobacteria	Gammaproteobacteria	Alteromonadales	OM60			New.CleanUp.ReferenceOTU281	0	0	0	19	5	3	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodobacterales	Rhodobacteraceae	Amaricoccus		New.CleanUp.ReferenceOTU286	2	6	1	0	0	0	0	0	0	0	0	0	0	0	0	
Unassigned							New.CleanUp.ReferenceOTU287	2	10	21	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Thiohalorhabdales				New.CleanUp.ReferenceOTU290	0	0	0	0	0	0	1	0	0	0	0	0	0	8	0	
Bacteria	Proteobacteria	Alphaproteobacteria					New.CleanUp.ReferenceOTU291	0	0	1	2	2	0	1	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Alphaproteobacteria	Rhodospirillales	Rhodospirillaceae			New.CleanUp.ReferenceOTU297	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	
Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae			New.CleanUp.ReferenceOTU300	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	
Bacteria	Chloroflexi	Ellin6529					New.CleanUp.ReferenceOTU306	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	
Bacteria	Actinobacteria	Acidimicrobiia	Acidimicrobiales	C111			New.CleanUp.ReferenceOTU309	0	1	0	3	7	12	0	0	0	0	0	0	0	0	0	
Bacteria	Cyanobacteria	Synechococcophycideae	Pseudanabaenales	Pseudanabaenaceae			New.CleanUp.ReferenceOTU320	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria	Chromatiales	Ectothiorhodospiraceae			New.CleanUp.ReferenceOTU321	0	0	0	0	0	0	0	1	4	0	1	1	0	0	1	
Bacteria	TM7	TM7-1					New.CleanUp.ReferenceOTU323	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	
