1	2	3	4	5	6	7	8	T2	T5	T7	L6	OV5	L3	L1	L7	OV2	OV7	T3	OV8	L5	L4	T1	T4	T6	OV4	OV6	OV1	OV3	L2	L8	
Bacteria	Bacteroidetes	Flavobacteriia	Flavobacteriales	Flavobacteriaceae			768463	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	2	6	1	1	0	0	0	0	
Bacteria	Actinobacteria	Actinobacteria	Actinomycetales	ACK-M1			806314	1	1	1	0	0	0	0	3	0	0	3	0	0	0	7	8	27	4	13	1	9	0	1	
Bacteria	Elusimicrobia	Elusimicrobia	FAC88				218152	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	
Bacteria	Verrucomicrobia	Verrucomicrobiae	Verrucomicrobiales	Verrucomicrobiaceae			4151703	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	
Bacteria	Bacteroidetes	[Saprospirae]	[Saprospirales]	Chitinophagaceae			551647	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			783719	0	0	2	2	0	1	0	0	0	0	1	0	2	5	0	0	0	0	0	0	2	0	0	
Bacteria	Bacteroidetes	Cytophagia	Cytophagales	Cytophagaceae			821362	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			81611	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae			802011	1	0	2	0	1	1	0	1	0	1	0	0	1	1	0	0	3	0	0	0	0	0	0	
Bacteria	Proteobacteria	Gammaproteobacteria					4187380	0	0	4	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
Bacteria	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae			791738	44	3	83	32	7	0	5	0	82	69	0	3	16	3	5	5	8	0	2	0	1	0	1	
